race,gender,birth_year_in_5_year_units,avg_unit_allegations_per_officer_per_year,sd_unit_allegations_per_officer_per_year
Black,F,1945,0.2897247309262863,0.46727441878815573
Black,F,1950,0.25329635110210724,0.25545837844669383
Black,F,1950,0.4411359746852411,0.642581127142136
Black,F,1950,0.21358509633779887,0.21297244908029814
Black,F,1950,0.35894081327334676,0.39935769747121236
Black,F,1950,0.4218956978763613,0.49976109910790106
Black,F,1955,0.3974810478065985,0.3799095180752897
Black,F,1955,0.43047358710841854,0.5150248789108859
Black,F,1955,0.3420192175607737,0.29128745784431526
Black,F,1955,0.32544628957762345,0.29421632323191876
Black,F,1955,0.5015725333071653,0.5990175501245981
Black,F,1960,0.3445697177818902,0.3206651667539009
Black,F,1960,0.472796145159149,0.42535711317370967
Black,F,1960,0.355814341019624,0.31911371000684563
Black,F,1960,0.5410991919957437,0.4128124585505757
Black,F,1960,0.5456855966326231,0.5410841113835786
Black,F,1965,0.49065242980799517,0.39418910047983546
Black,F,1965,0.6533083666612095,0.6236313457194114
Black,F,1965,0.6390331890331891,0.9501207849235759
Black,F,1965,0.42633033633033623,0.5621239980749784
Black,F,1965,0.4047190656565656,0.4844697833495157
Black,F,1970,0.8110805860805861,0.6692045041570768
Black,F,1970,0.7080835830835832,0.503689716943085
Black,F,1970,0.25,0.3535533905932738
Black,F,1970,0.974074074074074,0.6806556993590509
Black,F,1970,0.4047619047619047,0.5265081997022852
Black,F,1975,1.388888888888889,2.262823539379589
Black,F,1975,0.2708333333333333,0.2856522750167102
Black,F,1975,0.06818181818181818,0.13636363636363635
Black,F,1975,0.1625,0.05303300858899107
Black,F,1975,0,0
Black,F,1980,0,
Black,F,1980,0,
Black,F,1980,0,
Black,F,1985,0,0
Black,F,1985,0,
Black,M,1915,0,
Black,M,1915,0,0
Black,M,1915,0,0
Black,M,1915,0,0
Black,M,1920,0.001763668430335097,0.007435698054262008
Black,M,1920,0,0
Black,M,1920,0.0005599104143337066,0.00383855240783933
Black,M,1920,0,0
Black,M,1920,0.0006447453255963894,0.004420151257511957
Black,M,1925,0.005493253122846267,0.022107124750809004
Black,M,1925,0.0009072580645161291,0.005329065805279128
Black,M,1925,0.002734292901081757,0.00872501653527685
Black,M,1925,0.02506757900394918,0.14326890473117807
Black,M,1925,0.008747475021527087,0.022076007026771018
Black,M,1930,0.00892266014454596,0.01870089530085772
Black,M,1930,0.024185418492685636,0.05642259919919251
Black,M,1930,0.022398877980838356,0.0687564778683214
Black,M,1930,0.03465706737698037,0.06384031266617121
Black,M,1930,0.06655715008265575,0.17107328030941746
Black,M,1935,0.025708568981215856,0.03672676167939896
Black,M,1935,0.052835460811789574,0.07756820345029741
Black,M,1935,0.06066741728132148,0.0768614821100909
Black,M,1935,0.0682371632696835,0.07885261455526847
Black,M,1935,0.17018758833479086,0.3472875515009062
Black,M,1940,0.12885014208616735,0.2169667735482544
Black,M,1940,0.17683841926569235,0.2132580771209724
Black,M,1940,0.23166619113555817,0.2968228226804073
Black,M,1940,0.23868043873727296,0.381688961571423
Black,M,1940,0.2297714080757011,0.26943284826784764
Black,M,1945,0.2584122608856173,0.36543912547807045
Black,M,1945,0.3492417335645838,0.5507018043374251
Black,M,1945,0.3172092844319622,0.3920343445955205
Black,M,1945,0.3406949475719258,0.36626194354628105
Black,M,1945,0.42198713132843396,0.6401569420525337
Black,M,1950,0.49958907484455145,0.6762011247938574
Black,M,1950,0.5162706155855433,0.5746997902597063
Black,M,1950,0.545884308721988,0.5404464397032428
Black,M,1950,0.6121141797443559,0.5757158096042495
Black,M,1950,0.5922629259626119,0.5696377091026882
Black,M,1955,0.8087697577627205,0.7866949387395054
