crew_id,avg,sd,member_count,percent_black,percent_white,percent_female,percent_male
569,1.3084045584045583,0.4885281892813041,13,30.7692307692308,23.0769230769231,7.69230769230769,92.3076923076923
620,0.6435294117647059,0.004991341984846231,11,18.1818181818182,81.8181818181818,18.1818181818182,81.8181818181818
870,0.5517469120917398,0.37714492550008,11,81.8181818181818,18.1818181818182,36.3636363636364,63.6363636363636
1215,0.34265734265734266,0.15823368530048615,13,69.2307692307692,30.7692307692308,15.3846153846154,84.6153846153846
214,1.4547953216374268,0.9724267313375553,12,66.6666666666667,8.33333333333333,16.6666666666667,83.3333333333333
592,1.7380952380952381,1.701589892795942,11,45.4545454545455,54.5454545454545,0,100
716,1.2461538461538462,0.7832567422374066,11,0,63.6363636363636,0,81.8181818181818
573,0.849927536231884,0.8611418194143735,14,0,78.5714285714286,7.14285714285714,92.8571428571429
869,1.1666666666666667,1.1785113019775795,12,0,66.6666666666667,16.6666666666667,83.3333333333333
281,0.7431313131313131,0.26237742679277676,11,36.3636363636364,63.6363636363636,27.2727272727273,72.7272727272727
45,0.7589473684210526,0.5641967790941084,16,0,75,0,100
833,1.0791666666666666,0.5362226423997986,11,27.2727272727273,54.5454545454545,36.3636363636364,54.5454545454545
221,1.1262626262626263,1.0785164036279662,15,40,33.3333333333333,20,66.6666666666667
1064,0.564186415479519,0.20915783257360307,14,28.5714285714286,28.5714285714286,21.4285714285714,71.4285714285714
104,1.0678192178192178,1.2485244638168305,16,25,50,18.75,68.75
